Node1,Node2,Node3,difference
9683,7500,3500,8.307692307629623
7183,9920,6000,81.38461538450792
4683,9480,8500,6.0
2183,8802,11000,133.53846153849736
0,6302,13225,6.961538461502641
0,8758,10725,73.03846153849736
0,6258,12076,149.01538461539894
