,H,I,J
0,0.141,0.791,0.0
1,0.0,0.608,0.0
2,0.0,0.008,1.0
3,0.0,0.0,1.0
4,0.0,0.985,1.0
5,0.0,0.0,1.0
6,0.0,1.0,1.0
7,0.0,0.817,1.0
