,H,I,J
0,0.4999153846153846,0.5066923076923077,0.8018538461538463
1,0.8540769230769232,0.5077153846153847,0.7873000000000002
2,0.6915846153846155,0.5079230769230768,0.7489230769230769
3,1.0,0.542,0.4916153846153847
4,1.0,0.49918461538461545,0.5237
5,1.0,0.7569384615384616,0.3044307692307692
6,1.0,0.43513076923076927,0.7224
7,1.0,0.5073461538461539,0.6384076923076922
